noStudents,noStaffs,Bench_and_Desk,Computer,Board,Classrooms,status
383,19,95,95,7,7,Good
170,8,42,42,3,3,Very Good
211,10,52,52,4,4,Very Good
394,19,98,98,7,7,Fine
235,11,58,58,4,4,Very Good
145,7,36,36,2,2,Fine
125,6,31,31,2,2,Very Good
494,24,123,123,9,9,Very Good
386,19,96,96,7,7,Fine
318,15,79,79,6,6,Good
179,8,44,44,3,3,Fine
160,8,40,40,3,3,Very Good
460,23,115,115,9,9,Fine
177,8,44,44,3,3,Good
344,17,86,86,6,6,Very Good
209,10,52,52,4,4,Very Good
415,20,103,103,8,8,Good
219,10,54,54,4,4,Good
348,17,87,87,6,6,Good
105,5,26,26,2,2,Very Good
329,16,82,82,6,6,Very Good
391,19,97,97,7,7,Very Good
431,21,107,107,8,8,Fine
264,13,66,66,5,5,Good
163,8,40,40,3,3,Very Good
484,24,121,121,9,9,Good
233,11,58,58,4,4,Very Good
452,22,113,113,9,9,Good
305,15,76,76,6,6,Good
487,24,121,121,9,9,Very Good
257,12,64,64,5,5,Good
293,14,73,73,5,5,Good
360,18,90,90,7,7,Good
228,11,57,57,4,4,Fine
215,10,53,53,4,4,Fine
116,5,29,29,2,2,Good
409,20,102,102,8,8,Fine
161,8,40,40,3,3,Very Good
330,16,82,82,6,6,Very Good
184,9,46,46,3,3,Good
293,14,73,73,5,5,Very Good
388,19,97,97,7,7,Fine
265,13,66,66,5,5,Very Good
331,16,82,82,6,6,Fine
131,6,32,32,2,2,Very Good
431,21,107,107,8,8,Very Good
274,13,68,68,5,5,Very Good
236,11,59,59,4,4,Fine
300,15,75,75,6,6,Very Good
212,10,53,53,4,4,Very Good
195,9,48,48,3,3,Fine
338,16,84,84,6,6,Good
442,22,110,110,8,8,Good
339,16,84,84,6,6,Fine
151,7,37,37,3,3,Very Good
220,11,55,55,4,4,Good
367,18,91,91,7,7,Very Good
390,19,97,97,7,7,Fine
217,10,54,54,4,4,Very Good
231,11,57,57,4,4,Fine
267,13,66,66,5,5,Very Good
469,23,117,117,9,9,Good
399,19,99,99,7,7,Very Good
138,6,34,34,2,2,Very Good
437,21,109,109,8,8,Good
304,15,76,76,6,6,Very Good
431,21,107,107,8,8,Good
442,22,110,110,8,8,Very Good
392,19,98,98,7,7,Very Good
381,19,95,95,7,7,Good
330,16,82,82,6,6,Good
276,13,69,69,5,5,Good
394,19,98,98,7,7,Fine
323,16,80,80,6,6,Good
495,24,123,123,9,9,Very Good
343,17,85,85,6,6,Good
221,11,55,55,4,4,Very Good
462,23,115,115,9,9,Fine
467,23,116,116,9,9,Very Good
359,17,89,89,7,7,Very Good
499,24,124,124,9,9,Very Good
486,24,121,121,9,9,Good
164,8,41,41,3,3,Good
401,20,100,100,8,8,Very Good
274,13,68,68,5,5,Very Good
317,15,79,79,6,6,Very Good
411,20,102,102,8,8,Very Good
344,17,86,86,6,6,Very Good
443,22,110,110,8,8,Very Good
337,16,84,84,6,6,Very Good
293,14,73,73,5,5,Very Good
466,23,116,116,9,9,Very Good
258,12,64,64,5,5,Fine
311,15,77,77,6,6,Very Good
464,23,116,116,9,9,Good
346,17,86,86,6,6,Good
364,18,91,91,7,7,Fine
466,23,116,116,9,9,Very Good
285,14,71,71,5,5,Very Good
493,24,123,123,9,9,Good
481,24,120,120,9,9,Very Good
188,9,47,47,3,3,Very Good
199,9,49,49,3,3,Good
176,8,44,44,3,3,Very Good
340,17,85,85,6,6,Fine
443,22,110,110,8,8,Fine
280,14,70,70,5,5,Good
478,23,119,119,9,9,Very Good
355,17,88,88,7,7,Very Good
194,9,48,48,3,3,Very Good
318,15,79,79,6,6,Very Good
242,12,60,60,4,4,Very Good
105,5,26,26,2,2,Good
263,13,65,65,5,5,Good
349,17,87,87,6,6,Fine
312,15,78,78,6,6,Fine
390,19,97,97,7,7,Very Good
384,19,96,96,7,7,Fine
233,11,58,58,4,4,Fine
209,10,52,52,4,4,Very Good
353,17,88,88,7,7,Good
290,14,72,72,5,5,Very Good
244,12,61,61,4,4,Very Good
316,15,79,79,6,6,Very Good
218,10,54,54,4,4,Very Good
332,16,83,83,6,6,Very Good
229,11,57,57,4,4,Good
436,21,109,109,8,8,Fine
194,9,48,48,3,3,Good
395,19,98,98,7,7,Fine
121,6,30,30,2,2,Very Good
155,7,38,38,3,3,Very Good
476,23,119,119,9,9,Fine
178,8,44,44,3,3,Fine
492,24,123,123,9,9,Very Good
378,18,94,94,7,7,Very Good
170,8,42,42,3,3,Fine
109,5,27,27,2,2,Fine
364,18,91,91,7,7,Very Good
398,19,99,99,7,7,Very Good
248,12,62,62,4,4,Fine
443,22,110,110,8,8,Very Good
473,23,118,118,9,9,Very Good
301,15,75,75,6,6,Good
182,9,45,45,3,3,Very Good
477,23,119,119,9,9,Good
315,15,78,78,6,6,Very Good
468,23,117,117,9,9,Fine
156,7,39,39,3,3,Very Good
423,21,105,105,8,8,Very Good
199,9,49,49,3,3,Very Good
445,22,111,111,8,8,Good
346,17,86,86,6,6,Good
234,11,58,58,4,4,Fine
402,20,100,100,8,8,Good
256,12,64,64,5,5,Good
311,15,77,77,6,6,Good
152,7,38,38,3,3,Very Good
127,6,31,31,2,2,Good
364,18,91,91,7,7,Fine
417,20,104,104,8,8,Good
129,6,32,32,2,2,Very Good
318,15,79,79,6,6,Very Good
183,9,45,45,3,3,Very Good
130,6,32,32,2,2,Good
149,7,37,37,2,2,Very Good
297,14,74,74,5,5,Very Good
369,18,92,92,7,7,Very Good
398,19,99,99,7,7,Very Good
302,15,75,75,6,6,Very Good
440,22,110,110,8,8,Good
409,20,102,102,8,8,Good
411,20,102,102,8,8,Good
293,14,73,73,5,5,Good
256,12,64,64,5,5,Fine
230,11,57,57,4,4,Very Good
391,19,97,97,7,7,Good
163,8,40,40,3,3,Very Good
393,19,98,98,7,7,Very Good
288,14,72,72,5,5,Good
426,21,106,106,8,8,Good
477,23,119,119,9,9,Very Good
123,6,30,30,2,2,Good
348,17,87,87,6,6,Very Good
240,12,60,60,4,4,Very Good
469,23,117,117,9,9,Good
164,8,41,41,3,3,Very Good
183,9,45,45,3,3,Very Good
264,13,66,66,5,5,Very Good
259,12,64,64,5,5,Good
260,13,65,65,5,5,Very Good
228,11,57,57,4,4,Good
122,6,30,30,2,2,Good
250,12,62,62,5,5,Very Good
406,20,101,101,8,8,Very Good
363,18,90,90,7,7,Good
410,20,102,102,8,8,Very Good
451,22,112,112,9,9,Good
377,18,94,94,7,7,Very Good
301,15,75,75,6,6,Very Good
228,11,57,57,4,4,Very Good
260,13,65,65,5,5,Very Good
464,23,116,116,9,9,Good
445,22,111,111,8,8,Good
239,11,59,59,4,4,Very Good
183,9,45,45,3,3,Fine
231,11,57,57,4,4,Very Good
192,9,48,48,3,3,Very Good
454,22,113,113,9,9,Very Good
355,17,88,88,7,7,Very Good
309,15,77,77,6,6,Very Good
113,5,28,28,2,2,Very Good
479,23,119,119,9,9,Good
125,6,31,31,2,2,Very Good
482,24,120,120,9,9,Very Good
137,6,34,34,2,2,Very Good
140,7,35,35,2,2,Good
228,11,57,57,4,4,Good
267,13,66,66,5,5,Very Good
447,22,111,111,8,8,Fine
430,21,107,107,8,8,Very Good
352,17,88,88,7,7,Very Good
382,19,95,95,7,7,Very Good
485,24,121,121,9,9,Good
227,11,56,56,4,4,Very Good
277,13,69,69,5,5,Very Good
249,12,62,62,4,4,Very Good
369,18,92,92,7,7,Very Good
362,18,90,90,7,7,Very Good
428,21,107,107,8,8,Very Good
483,24,120,120,9,9,Fine
448,22,112,112,8,8,Very Good
345,17,86,86,6,6,Very Good
362,18,90,90,7,7,Good
352,17,88,88,7,7,Good
146,7,36,36,2,2,Fine
161,8,40,40,3,3,Very Good
267,13,66,66,5,5,Good
403,20,100,100,8,8,Very Good
440,22,110,110,8,8,Good
192,9,48,48,3,3,Very Good
331,16,82,82,6,6,Very Good
476,23,119,119,9,9,Good
156,7,39,39,3,3,Good
129,6,32,32,2,2,Good
488,24,122,122,9,9,Good
458,22,114,114,9,9,Good
462,23,115,115,9,9,Very Good
429,21,107,107,8,8,Good
450,22,112,112,9,9,Good
115,5,28,28,2,2,Very Good
137,6,34,34,2,2,Very Good
238,11,59,59,4,4,Very Good
376,18,94,94,7,7,Fine
282,14,70,70,5,5,Good
118,5,29,29,2,2,Good
495,24,123,123,9,9,Fine
168,8,42,42,3,3,Very Good
262,13,65,65,5,5,Very Good
115,5,28,28,2,2,Very Good
405,20,101,101,8,8,Good
298,14,74,74,5,5,Fine
408,20,102,102,8,8,Good
208,10,52,52,4,4,Fine
461,23,115,115,9,9,Very Good
284,14,71,71,5,5,Good
362,18,90,90,7,7,Very Good
221,11,55,55,4,4,Very Good
454,22,113,113,9,9,Good
295,14,73,73,5,5,Very Good
461,23,115,115,9,9,Very Good
374,18,93,93,7,7,Very Good
263,13,65,65,5,5,Good
280,14,70,70,5,5,Fine
335,16,83,83,6,6,Very Good
224,11,56,56,4,4,Fine
133,6,33,33,2,2,Very Good
241,12,60,60,4,4,Very Good
270,13,67,67,5,5,Good
101,5,25,25,2,2,Very Good
260,13,65,65,5,5,Very Good
304,15,76,76,6,6,Good
387,19,96,96,7,7,Good
432,21,108,108,8,8,Very Good
246,12,61,61,4,4,Very Good
325,16,81,81,6,6,Fine
155,7,38,38,3,3,Good
388,19,97,97,7,7,Good
191,9,47,47,3,3,Very Good
436,21,109,109,8,8,Fine
486,24,121,121,9,9,Good
318,15,79,79,6,6,Very Good
426,21,106,106,8,8,Very Good
404,20,101,101,8,8,Good
361,18,90,90,7,7,Very Good
441,22,110,110,8,8,Good
136,6,34,34,2,2,Good
159,7,39,39,3,3,Fine
109,5,27,27,2,2,Very Good
228,11,57,57,4,4,Fine
174,8,43,43,3,3,Good
407,20,101,101,8,8,Good
441,22,110,110,8,8,Very Good
419,20,104,104,8,8,Fine
355,17,88,88,7,7,Good
222,11,55,55,4,4,Good
111,5,27,27,2,2,Very Good
352,17,88,88,7,7,Very Good
241,12,60,60,4,4,Good
479,23,119,119,9,9,Good
457,22,114,114,9,9,Good
302,15,75,75,6,6,Very Good
102,5,25,25,2,2,Good
339,16,84,84,6,6,Good
417,20,104,104,8,8,Very Good
125,6,31,31,2,2,Very Good
200,10,50,50,4,4,Very Good
164,8,41,41,3,3,Very Good
470,23,117,117,9,9,Very Good
467,23,116,116,9,9,Good
457,22,114,114,9,9,Very Good
367,18,91,91,7,7,Very Good
173,8,43,43,3,3,Good
148,7,37,37,2,2,Very Good
337,16,84,84,6,6,Fine
350,17,87,87,7,7,Very Good
443,22,110,110,8,8,Very Good
365,18,91,91,7,7,Fine
114,5,28,28,2,2,Very Good
365,18,91,91,7,7,Very Good
356,17,89,89,7,7,Fine
319,15,79,79,6,6,Good
122,6,30,30,2,2,Fine
463,23,115,115,9,9,Very Good
274,13,68,68,5,5,Good
433,21,108,108,8,8,Very Good
183,9,45,45,3,3,Very Good
289,14,72,72,5,5,Very Good
112,5,28,28,2,2,Very Good
173,8,43,43,3,3,Very Good
418,20,104,104,8,8,Fine
269,13,67,67,5,5,Very Good
318,15,79,79,6,6,Very Good
205,10,51,51,4,4,Fine
246,12,61,61,4,4,Very Good
434,21,108,108,8,8,Very Good
449,22,112,112,8,8,Fine
342,17,85,85,6,6,Good
239,11,59,59,4,4,Fine
374,18,93,93,7,7,Fine
205,10,51,51,4,4,Good
376,18,94,94,7,7,Good
177,8,44,44,3,3,Very Good
133,6,33,33,2,2,Good
110,5,27,27,2,2,Very Good
197,9,49,49,3,3,Very Good
221,11,55,55,4,4,Very Good
259,12,64,64,5,5,Very Good
433,21,108,108,8,8,Very Good
380,19,95,95,7,7,Fine
221,11,55,55,4,4,Very Good
176,8,44,44,3,3,Fine
280,14,70,70,5,5,Good
451,22,112,112,9,9,Good
172,8,43,43,3,3,Very Good
418,20,104,104,8,8,Very Good
387,19,96,96,7,7,Good
392,19,98,98,7,7,Fine
306,15,76,76,6,6,Very Good
161,8,40,40,3,3,Good
170,8,42,42,3,3,Very Good
448,22,112,112,8,8,Good
153,7,38,38,3,3,Very Good
274,13,68,68,5,5,Very Good
145,7,36,36,2,2,Fine
350,17,87,87,7,7,Good
332,16,83,83,6,6,Fine
121,6,30,30,2,2,Good
261,13,65,65,5,5,Very Good
429,21,107,107,8,8,Good
457,22,114,114,9,9,Good
101,5,25,25,2,2,Very Good
293,14,73,73,5,5,Very Good
213,10,53,53,4,4,Very Good
341,17,85,85,6,6,Very Good
322,16,80,80,6,6,Good
163,8,40,40,3,3,Very Good
447,22,111,111,8,8,Very Good
130,6,32,32,2,2,Very Good
438,21,109,109,8,8,Fine
420,21,105,105,8,8,Very Good
180,9,45,45,3,3,Good
118,5,29,29,2,2,Fine
487,24,121,121,9,9,Very Good
468,23,117,117,9,9,Very Good
414,20,103,103,8,8,Good
201,10,50,50,4,4,Good
253,12,63,63,5,5,Fine
276,13,69,69,5,5,Very Good
128,6,32,32,2,2,Good
240,12,60,60,4,4,Good
141,7,35,35,2,2,Good
188,9,47,47,3,3,Very Good
256,12,64,64,5,5,Very Good
211,10,52,52,4,4,Good
418,20,104,104,8,8,Very Good
175,8,43,43,3,3,Very Good
402,20,100,100,8,8,Good
396,19,99,99,7,7,Fine
221,11,55,55,4,4,Good
104,5,26,26,2,2,Very Good
190,9,47,47,3,3,Very Good
457,22,114,114,9,9,Very Good
284,14,71,71,5,5,Fine
133,6,33,33,2,2,Very Good
490,24,122,122,9,9,Very Good
480,24,120,120,9,9,Good
477,23,119,119,9,9,Very Good
363,18,90,90,7,7,Very Good
310,15,77,77,6,6,Very Good
301,15,75,75,6,6,Very Good
261,13,65,65,5,5,Very Good
445,22,111,111,8,8,Very Good
277,13,69,69,5,5,Good
254,12,63,63,5,5,Very Good
102,5,25,25,2,2,Good
257,12,64,64,5,5,Very Good
155,7,38,38,3,3,Very Good
406,20,101,101,8,8,Good
265,13,66,66,5,5,Good
446,22,111,111,8,8,Very Good
323,16,80,80,6,6,Very Good
208,10,52,52,4,4,Very Good
314,15,78,78,6,6,Very Good
126,6,31,31,2,2,Good
221,11,55,55,4,4,Good
133,6,33,33,2,2,Very Good
139,6,34,34,2,2,Very Good
289,14,72,72,5,5,Very Good
455,22,113,113,9,9,Good
146,7,36,36,2,2,Good
311,15,77,77,6,6,Good
405,20,101,101,8,8,Very Good
246,12,61,61,4,4,Very Good
377,18,94,94,7,7,Very Good
413,20,103,103,8,8,Very Good
327,16,81,81,6,6,Very Good
234,11,58,58,4,4,Very Good
208,10,52,52,4,4,Fine
217,10,54,54,4,4,Very Good
128,6,32,32,2,2,Very Good
383,19,95,95,7,7,Fine
500,25,125,125,10,10,Very Good
498,24,124,124,9,9,Fine
137,6,34,34,2,2,Fine
477,23,119,119,9,9,Very Good
207,10,51,51,4,4,Very Good
101,5,25,25,2,2,Very Good
370,18,92,92,7,7,Very Good
199,9,49,49,3,3,Fine
309,15,77,77,6,6,Good
141,7,35,35,2,2,Good
148,7,37,37,2,2,Good
221,11,55,55,4,4,Fine
188,9,47,47,3,3,Very Good
460,23,115,115,9,9,Fine
452,22,113,113,9,9,Very Good
426,21,106,106,8,8,Good
245,12,61,61,4,4,Very Good
399,19,99,99,7,7,Good
174,8,43,43,3,3,Good
282,14,70,70,5,5,Good
460,23,115,115,9,9,Fine
418,20,104,104,8,8,Fine
175,8,43,43,3,3,Very Good
395,19,98,98,7,7,Good
283,14,70,70,5,5,Fine
471,23,117,117,9,9,Fine
358,17,89,89,7,7,Good
223,11,55,55,4,4,Very Good
277,13,69,69,5,5,Very Good
326,16,81,81,6,6,Good
407,20,101,101,8,8,Fine
362,18,90,90,7,7,Good
296,14,74,74,5,5,Very Good
362,18,90,90,7,7,Very Good
340,17,85,85,6,6,Very Good
125,6,31,31,2,2,Very Good
114,5,28,28,2,2,Very Good
438,21,109,109,8,8,Good
458,22,114,114,9,9,Very Good
172,8,43,43,3,3,Very Good
196,9,49,49,3,3,Very Good
456,22,114,114,9,9,Good
147,7,36,36,2,2,Fine
118,5,29,29,2,2,Good
218,10,54,54,4,4,Very Good
323,16,80,80,6,6,Good
270,13,67,67,5,5,Very Good
459,22,114,114,9,9,Very Good
455,22,113,113,9,9,Very Good
227,11,56,56,4,4,Very Good
297,14,74,74,5,5,Very Good
358,17,89,89,7,7,Good
241,12,60,60,4,4,Very Good
403,20,100,100,8,8,Very Good
239,11,59,59,4,4,Very Good
330,16,82,82,6,6,Very Good
497,24,124,124,9,9,Fine
174,8,43,43,3,3,Very Good
371,18,92,92,7,7,Good
163,8,40,40,3,3,Very Good
411,20,102,102,8,8,Good
237,11,59,59,4,4,Good
457,22,114,114,9,9,Very Good
397,19,99,99,7,7,Very Good
146,7,36,36,2,2,Very Good
413,20,103,103,8,8,Very Good
154,7,38,38,3,3,Good
322,16,80,80,6,6,Fine
312,15,78,78,6,6,Fine
449,22,112,112,8,8,Very Good
217,10,54,54,4,4,Very Good
254,12,63,63,5,5,Very Good
440,22,110,110,8,8,Very Good
170,8,42,42,3,3,Fine
335,16,83,83,6,6,Good
464,23,116,116,9,9,Very Good
473,23,118,118,9,9,Good
150,7,37,37,3,3,Fine
268,13,67,67,5,5,Very Good
254,12,63,63,5,5,Good
227,11,56,56,4,4,Good
100,5,25,25,2,2,Good
160,8,40,40,3,3,Good
439,21,109,109,8,8,Very Good
140,7,35,35,2,2,Very Good
232,11,58,58,4,4,Very Good
120,6,30,30,2,2,Very Good
325,16,81,81,6,6,Fine
425,21,106,106,8,8,Very Good
423,21,105,105,8,8,Good
228,11,57,57,4,4,Fine
437,21,109,109,8,8,Very Good
112,5,28,28,2,2,Fine
172,8,43,43,3,3,Fine
333,16,83,83,6,6,Good
364,18,91,91,7,7,Good
333,16,83,83,6,6,Fine
117,5,29,29,2,2,Very Good
150,7,37,37,3,3,Very Good
162,8,40,40,3,3,Good
404,20,101,101,8,8,Very Good
221,11,55,55,4,4,Very Good
122,6,30,30,2,2,Good
357,17,89,89,7,7,Good
396,19,99,99,7,7,Very Good
204,10,51,51,4,4,Very Good
188,9,47,47,3,3,Fine
316,15,79,79,6,6,Good
181,9,45,45,3,3,Good
330,16,82,82,6,6,Fine
134,6,33,33,2,2,Very Good
337,16,84,84,6,6,Good
403,20,100,100,8,8,Fine
168,8,42,42,3,3,Very Good
379,18,94,94,7,7,Good
355,17,88,88,7,7,Very Good
223,11,55,55,4,4,Fine
427,21,106,106,8,8,Good
190,9,47,47,3,3,Fine
177,8,44,44,3,3,Very Good
408,20,102,102,8,8,Very Good
314,15,78,78,6,6,Fine
316,15,79,79,6,6,Fine
493,24,123,123,9,9,Fine
114,5,28,28,2,2,Very Good
382,19,95,95,7,7,Very Good
333,16,83,83,6,6,Very Good
433,21,108,108,8,8,Good
457,22,114,114,9,9,Very Good
330,16,82,82,6,6,Very Good
233,11,58,58,4,4,Very Good
351,17,87,87,7,7,Good
138,6,34,34,2,2,Good
281,14,70,70,5,5,Very Good
235,11,58,58,4,4,Fine
445,22,111,111,8,8,Very Good
178,8,44,44,3,3,Very Good
454,22,113,113,9,9,Fine
447,22,111,111,8,8,Very Good
189,9,47,47,3,3,Very Good
367,18,91,91,7,7,Very Good
327,16,81,81,6,6,Very Good
192,9,48,48,3,3,Very Good
308,15,77,77,6,6,Very Good
331,16,82,82,6,6,Very Good
284,14,71,71,5,5,Fine
203,10,50,50,4,4,Very Good
455,22,113,113,9,9,Very Good
208,10,52,52,4,4,Good
376,18,94,94,7,7,Very Good
494,24,123,123,9,9,Good
113,5,28,28,2,2,Very Good
284,14,71,71,5,5,Good
269,13,67,67,5,5,Good
146,7,36,36,2,2,Very Good
280,14,70,70,5,5,Fine
373,18,93,93,7,7,Fine
173,8,43,43,3,3,Good
271,13,67,67,5,5,Fine
405,20,101,101,8,8,Very Good
209,10,52,52,4,4,Good
456,22,114,114,9,9,Good
170,8,42,42,3,3,Good
391,19,97,97,7,7,Fine
394,19,98,98,7,7,Fine
225,11,56,56,4,4,Very Good
107,5,26,26,2,2,Very Good
402,20,100,100,8,8,Very Good
203,10,50,50,4,4,Very Good
353,17,88,88,7,7,Good
252,12,63,63,5,5,Very Good
136,6,34,34,2,2,Very Good
287,14,71,71,5,5,Good
286,14,71,71,5,5,Very Good
142,7,35,35,2,2,Fine
320,16,80,80,6,6,Good
134,6,33,33,2,2,Very Good
331,16,82,82,6,6,Very Good
371,18,92,92,7,7,Very Good
282,14,70,70,5,5,Very Good
350,17,87,87,7,7,Very Good
309,15,77,77,6,6,Very Good
163,8,40,40,3,3,Fine
324,16,81,81,6,6,Fine
140,7,35,35,2,2,Fine
332,16,83,83,6,6,Good
112,5,28,28,2,2,Fine
482,24,120,120,9,9,Very Good
181,9,45,45,3,3,Good
379,18,94,94,7,7,Good
463,23,115,115,9,9,Very Good
358,17,89,89,7,7,Good
410,20,102,102,8,8,Very Good
111,5,27,27,2,2,Fine
442,22,110,110,8,8,Very Good
347,17,86,86,6,6,Very Good
467,23,116,116,9,9,Very Good
194,9,48,48,3,3,Very Good
351,17,87,87,7,7,Very Good
421,21,105,105,8,8,Very Good
376,18,94,94,7,7,Good
499,24,124,124,9,9,Very Good
290,14,72,72,5,5,Good
467,23,116,116,9,9,Good
441,22,110,110,8,8,Very Good
327,16,81,81,6,6,Very Good
182,9,45,45,3,3,Good
318,15,79,79,6,6,Very Good
305,15,76,76,6,6,Good
380,19,95,95,7,7,Good
421,21,105,105,8,8,Very Good
463,23,115,115,9,9,Very Good
200,10,50,50,4,4,Very Good
445,22,111,111,8,8,Fine
175,8,43,43,3,3,Very Good
202,10,50,50,4,4,Very Good
386,19,96,96,7,7,Good
446,22,111,111,8,8,Very Good
319,15,79,79,6,6,Fine
149,7,37,37,2,2,Very Good
449,22,112,112,8,8,Very Good
273,13,68,68,5,5,Very Good
253,12,63,63,5,5,Good
256,12,64,64,5,5,Fine
407,20,101,101,8,8,Very Good
234,11,58,58,4,4,Very Good
239,11,59,59,4,4,Good
474,23,118,118,9,9,Very Good
216,10,54,54,4,4,Very Good
434,21,108,108,8,8,Very Good
325,16,81,81,6,6,Very Good
383,19,95,95,7,7,Fine
204,10,51,51,4,4,Very Good
160,8,40,40,3,3,Good
145,7,36,36,2,2,Very Good
166,8,41,41,3,3,Good
210,10,52,52,4,4,Very Good
404,20,101,101,8,8,Very Good
102,5,25,25,2,2,Good
224,11,56,56,4,4,Good
151,7,37,37,3,3,Very Good
286,14,71,71,5,5,Good
171,8,42,42,3,3,Very Good
400,20,100,100,8,8,Good
348,17,87,87,6,6,Fine
481,24,120,120,9,9,Very Good
429,21,107,107,8,8,Very Good
150,7,37,37,3,3,Very Good
153,7,38,38,3,3,Very Good
455,22,113,113,9,9,Good
398,19,99,99,7,7,Good
408,20,102,102,8,8,Very Good
114,5,28,28,2,2,Very Good
272,13,68,68,5,5,Fine
283,14,70,70,5,5,Very Good
458,22,114,114,9,9,Very Good
478,23,119,119,9,9,Very Good
108,5,27,27,2,2,Good
246,12,61,61,4,4,Very Good
269,13,67,67,5,5,Very Good
274,13,68,68,5,5,Good
125,6,31,31,2,2,Very Good
481,24,120,120,9,9,Very Good
386,19,96,96,7,7,Good
484,24,121,121,9,9,Good
338,16,84,84,6,6,Very Good
394,19,98,98,7,7,Good
498,24,124,124,9,9,Very Good
487,24,121,121,9,9,Good
114,5,28,28,2,2,Fine
285,14,71,71,5,5,Very Good
176,8,44,44,3,3,Very Good
343,17,85,85,6,6,Very Good
462,23,115,115,9,9,Good
